"","Gene","SLE001h","SLE002h","SLE004h","SLE005h","SLE006h","SLE007h","SLE008h","SLE010h","SLE011h","SLE012h","SLE013h","SLE014h","SLE015h","SLE016h"
"30730","ISOC1",16,44,62,46,55,70,46,94,104,67,65,113,48,45
"30731","ISOC2",28,37,60,43,50,32,49,80,47,54,57,67,20,20
"30732","ISPD",0,2,7,2,10,2,0,5,8,3,4,5,4,2
"30733","ISPD-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30734","IST1",464,1129,1326,794,1003,712,664,1550,1584,1146,1270,1992,956,566
"30735","ISX",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30736","ISX-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30737","ISY1",79,133,180,103,87,79,75,179,164,135,160,231,90,61
"30738","ISY1-RAB43",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30739","ISYNA1",9,51,73,69,31,56,55,50,50,113,65,90,43,12
"30740","ITCH",204,690,910,507,813,488,262,1106,1069,820,980,1522,794,417
"30741","ITCH-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30742","ITCH-IT1",0,0,0,0,0,0,0,0,0,0,0,1,2,0
"30743","ITFG1",127,244,248,123,199,102,116,332,291,202,240,405,169,116
"30744","ITFG1-AS1",0,1,0,0,0,0,0,0,0,2,0,0,0,0
"30745","ITFG2",29,101,162,114,110,138,100,166,87,179,137,189,81,36
"30746","ITFG2-AS1",0,0,2,0,0,1,0,0,0,1,1,0,0,0
"30747","ITGA1",40,120,55,12,35,23,6,145,55,21,101,229,28,47
"30748","ITGA10",6,10,18,10,13,9,12,22,7,12,14,17,4,1
"30749","ITGA11",0,0,1,1,0,1,0,1,0,3,1,0,0,0
"30750","ITGA2",0,5,4,5,6,1,1,8,3,13,8,11,9,4
"30751","ITGA2B",306,662,358,491,181,835,1637,228,583,205,211,471,642,374
"30752","ITGA3",6,16,20,41,6,24,25,26,12,23,31,32,17,10
"30753","ITGA4",199,878,2155,1050,1569,1209,645,2902,1100,1905,2604,2778,988,551
"30754","ITGA5",751,1214,1545,1152,1087,1025,710,1948,2197,1229,1481,2922,1004,627
"30755","ITGA6",72,272,259,281,167,281,150,207,276,853,328,656,293,109
"30756","ITGA7",15,11,10,6,9,9,10,10,6,4,9,12,5,0
"30757","ITGA8",0,0,0,0,0,0,0,5,0,0,0,0,0,0
"30758","ITGA9",18,3,7,6,13,4,10,11,16,6,4,11,11,5
"30759","ITGA9-AS1",4,6,5,3,1,9,7,3,10,9,3,7,7,1
"30760","ITGAD",2,11,3,9,37,8,2,17,23,6,21,33,9,4
"30761","ITGAE",60,67,100,47,87,55,78,117,88,99,103,88,63,43
"30762","ITGAL",762,1903,3343,2510,3116,2244,1901,4280,2740,2163,3236,3977,1745,1027
"30763","ITGAM",4511,2901,2122,1700,2005,1465,1294,2645,3804,1707,3198,5257,1740,1610
"30764","ITGAV",22,39,87,67,101,53,35,113,109,101,98,153,87,39
"30765","ITGAX",2548,5576,4331,3385,2846,2937,1602,3851,4367,4326,4725,9231,4222,920
"30766","ITGB1",367,659,2060,1204,1777,1172,828,2011,1436,1213,1964,2085,1399,775
"30767","ITGB1-DT",0,1,4,1,0,0,0,1,0,1,1,2,0,2
"30768","ITGB1BP1",86,130,242,138,236,126,130,264,199,169,264,297,161,95
"30769","ITGB1BP2",2,1,4,3,4,2,5,7,5,3,5,3,1,2
"30770","ITGB1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30771","ITGB2",10127,10748,10755,8817,12204,6740,7250,12680,21345,8813,13727,15750,9081,6911
"30772","ITGB2-AS1",373,561,475,478,459,227,332,464,447,605,686,641,352,84
"30773","ITGB3",26,99,79,77,47,98,107,39,100,105,66,86,171,75
"30774","ITGB3BP",19,32,68,27,31,30,13,57,52,92,52,54,51,22
"30775","ITGB4",47,16,7,19,7,13,5,4,51,23,31,11,42,15
"30776","ITGB5",35,106,71,98,32,171,199,53,125,77,60,87,128,63
"30777","ITGB5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30778","ITGB6",1,0,0,0,1,0,0,0,0,0,0,1,0,0
"30779","ITGB7",53,185,500,529,468,412,352,608,329,393,415,537,194,127
"30780","ITGB8",1,1,11,4,1,7,5,7,4,20,21,12,11,1
"30781","ITGBL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30782","ITIH1",0,3,3,2,2,1,5,3,13,0,9,9,5,2
"30783","ITIH2",2,1,5,0,2,1,0,4,4,3,6,3,2,0
"30784","ITIH3",0,0,1,6,1,0,0,2,0,3,3,6,2,0
"30785","ITIH4",3,0,9,2,3,0,5,5,1,4,7,7,3,0
"30786","ITIH4-AS1",1,0,1,0,0,0,0,2,0,0,1,5,1,0
"30787","ITIH5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30788","ITIH6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30789","ITK",25,665,1262,873,1157,1013,489,1167,792,2039,1343,1535,725,361
"30790","ITLN1",137,85,7,29,24,33,14,10,55,14,1,44,47,44
"30791","ITLN2",0,2,0,0,0,0,1,1,0,1,0,3,0,0
"30792","ITM2A",18,184,373,282,335,232,197,350,279,471,415,451,187,148
"30793","ITM2B",4665,12603,10625,7778,9052,7055,4287,11709,14654,10240,10903,25149,9590,6805
"30794","ITM2BP1",0,0,0,0,1,0,0,0,0,0,4,0,0,0
"30795","ITM2C",78,97,284,160,80,183,178,611,182,430,151,182,142,71
"30796","ITPA",96,102,201,143,175,100,139,189,169,149,183,206,94,90
"30797","ITPK1",864,1689,1457,1309,1159,925,769,2006,1759,1123,1266,2595,913,730
"30798","ITPK1-AS1",1,4,5,0,1,0,0,10,0,6,6,2,1,0
"30799","ITPKA",2,0,0,0,1,0,0,1,2,1,0,1,0,0
"30800","ITPKB",156,754,875,807,706,788,491,1015,786,1268,782,1513,547,316
"30801","ITPKB-AS1",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"30802","ITPKB-IT1",4,37,16,15,5,8,9,23,17,11,18,37,11,10
"30803","ITPKC",195,133,102,66,69,81,80,124,134,70,138,141,69,97
"30804","ITPR1",60,199,465,284,268,285,131,559,271,405,442,652,305,105
"30805","ITPR1-AS1",0,0,1,2,0,0,1,2,2,3,0,2,1,1
"30806","ITPR2",103,300,479,252,437,274,112,658,424,508,604,957,425,175
"30807","ITPR3",25,124,397,371,278,354,151,442,138,460,379,375,203,44
"30808","ITPRIP",642,1068,1048,662,694,476,382,1262,1385,715,927,1671,715,482
"30809","ITPRIPL1",1,14,89,66,121,43,50,110,61,26,90,114,26,21
"30810","ITPRIPL2",36,100,164,56,143,63,48,213,105,82,194,188,95,35
"30811","ITSN1",57,55,49,28,43,28,21,80,61,38,60,84,58,65
"30812","ITSN2",244,864,1145,598,957,609,319,1318,791,1156,1167,2214,843,336
"30813","IVD",45,157,311,187,302,174,193,303,219,268,219,357,163,64
"30814","IVL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30815","IVNS1ABP",1009,1683,1386,1106,1539,845,555,2073,1743,1558,1721,2590,1319,663
"30816","IWS1",110,320,344,233,328,169,134,474,334,302,357,582,260,120
"30817","IYD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30818","IZUMO1",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"30819","IZUMO1R",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"30820","IZUMO2",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"30821","IZUMO3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30822","IZUMO4",10,30,36,23,16,25,25,27,30,40,25,34,22,4
"30823","JADE1",84,258,393,269,278,301,116,408,405,490,330,516,348,124
"30824","JADE2",106,480,747,592,546,672,463,1039,518,727,622,1100,423,269
"30825","JADE3",5,4,13,11,10,6,5,17,6,14,7,16,14,3
"30826","JADRR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30827","JAG1",56,40,33,14,22,11,16,61,64,28,53,100,35,24
"30828","JAG2",0,4,32,11,7,9,7,11,6,2,11,15,3,1
"30829","JAGN1",79,127,169,102,145,107,87,189,164,123,187,174,114,74
"30830","JAK1",1025,3039,4022,2490,3191,2553,1311,3882,4914,4274,3806,6239,3154,1951
"30831","JAK2",289,671,760,312,620,348,278,1097,652,562,1274,1449,507,351
"30832","JAK3",1010,1780,1673,1091,936,1110,824,1940,1460,2204,2161,2782,1536,366
"30833","JAKMIP1",3,19,53,59,90,30,57,82,71,23,84,80,38,25
"30834","JAKMIP2",2,19,64,18,105,24,23,61,46,27,56,58,25,14
"30835","JAKMIP2-AS1",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"30836","JAKMIP3",0,3,1,5,4,4,0,3,3,4,10,6,2,0
"30837","JAM2",0,3,3,1,3,7,1,7,1,3,0,4,1,0
"30838","JAM3",7,33,34,62,20,60,42,22,48,74,56,57,40,14
"30839","JAML",2799,8192,7021,4428,4632,3135,2371,7330,10006,5539,7409,12035,5380,3056
"30840","JARID2",196,637,676,506,519,426,225,855,783,582,622,1274,489,260
"30841","JARID2-AS1",3,2,1,6,0,2,2,1,3,4,1,6,1,2
"30842","JAZF1",245,239,275,164,344,176,251,309,356,172,220,442,204,208
"30843","JAZF1-AS1",3,0,2,0,2,1,3,3,1,1,2,1,2,0
"30844","JCAD",6,3,2,1,0,1,0,4,0,0,0,1,0,2
"30845","JCHAIN",432,96,869,119,156,459,268,4085,160,3552,147,170,309,210
"30846","JDP2",745,533,251,208,204,184,154,409,368,191,427,582,195,359
"30847","JHDM1D-AS1",177,119,56,74,70,56,137,62,96,50,85,98,57,110
"30848","JHY",6,12,15,6,20,14,12,34,10,26,18,36,3,8
"30849","JKAMP",141,252,339,148,285,139,116,363,342,314,300,528,203,146
"30850","JKAMPP1",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"30851","JMJD1C",380,2203,2394,1139,2060,1135,577,2867,2084,2558,2718,6514,2065,731
"30852","JMJD1C-AS1",0,0,1,1,0,1,3,1,1,2,0,1,1,0
"30853","JMJD4",13,13,38,14,21,24,23,29,23,21,25,29,13,8
"30854","JMJD6",282,196,238,203,219,151,148,292,252,248,207,321,195,95
"30855","JMJD7",0,0,4,0,1,1,2,1,2,3,2,4,2,0
"30856","JMJD7-PLA2G4B",9,39,93,70,52,69,45,80,42,122,85,86,46,9
"30857","JMJD8",30,23,58,88,39,63,38,44,45,49,41,43,34,16
"30858","JMY",14,65,162,100,123,119,49,165,66,272,182,221,128,32
"30859","JOSD1",165,215,416,258,337,257,237,396,340,375,354,432,231,127
"30860","JOSD2",110,60,53,61,60,56,87,77,108,41,68,66,56,25
"30861","JPH1",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"30862","JPH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30863","JPH3",0,0,1,1,0,0,2,0,0,2,6,2,1,0
"30864","JPH4",7,6,14,4,6,2,7,18,20,11,22,33,8,2
"30865","JPT1",687,949,893,540,609,454,390,959,1608,663,724,1281,693,593
"30866","JPT2",32,89,210,131,139,119,95,179,151,172,124,198,130,77
"30867","JPX",4,7,9,6,0,2,1,13,2,6,13,14,4,1
"30868","JPX_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30869","JPX_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30870","JRK",35,120,260,169,202,191,69,323,160,301,246,303,165,56
"30871","JRKL",27,55,93,64,82,54,40,122,72,88,87,167,67,12
"30872","JRKL-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30873","JSRP1",0,1,2,8,2,5,5,11,2,2,4,4,0,3
"30874","JTB",525,752,842,662,741,590,666,1026,1124,654,882,1225,585,513
"30875","JTBP1",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"30876","JUN",357,227,106,107,110,65,87,247,105,128,103,308,134,48
"30877","JUNB",1672,2137,2616,3527,2441,1712,2681,2495,4067,2144,2023,2660,3050,1038
"30878","JUND",976,548,672,1007,517,850,1148,716,856,607,468,983,442,323
"30879","JUP",29,478,276,124,93,72,153,785,100,67,184,602,43,70
"30880","KAAG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30881","KALRN",2,17,18,15,5,23,10,6,16,8,16,26,18,7
"30882","KANK1",6,14,29,46,15,58,13,23,50,50,38,123,12,4
"30883","KANK1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30884","KANK2",47,22,16,17,45,16,59,21,19,14,24,27,30,72
"30885","KANK3",0,5,6,13,6,16,10,5,10,7,8,6,7,2
"30886","KANK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30887","KANSL1",125,446,598,434,497,437,221,663,471,623,640,979,416,193
"30888","KANSL1-AS1",6,11,18,8,7,13,17,18,14,10,26,14,12,11
"30889","KANSL1L",24,82,123,59,67,54,39,125,58,115,113,157,91,27
"30890","KANSL2",32,159,244,144,176,164,118,284,177,231,202,323,144,81
"30891","KANSL3",78,261,448,298,340,291,205,523,335,339,398,551,290,103
"30892","KANTR",11,32,63,37,26,33,19,42,31,86,37,86,45,5
"30893","KARS",295,545,853,511,761,450,501,995,945,771,1064,1060,534,490
"30894","KARSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30895","KARSP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30896","KARSP3",0,1,0,1,1,0,0,1,0,1,0,0,1,0
"30897","KAT14",4,63,97,80,69,50,44,101,71,98,86,92,53,27
"30898","KAT2A",51,184,244,169,106,167,165,310,127,287,198,309,139,32
"30899","KAT2B",433,750,923,525,799,500,652,1044,788,637,1013,1608,740,668
"30900","KAT5",97,121,195,121,131,101,92,212,139,159,178,168,115,78
"30901","KAT6A",248,839,1188,833,1033,889,376,1299,1456,1518,1373,2162,1138,553
"30902","KAT6B",29,117,212,145,231,179,74,225,148,329,211,295,138,61
"30903","KAT7",81,229,383,201,305,228,153,387,365,350,344,456,256,152
"30904","KAT8",230,279,393,294,241,263,223,427,407,373,386,479,273,161
"30905","KATNA1",52,76,135,77,122,81,76,168,121,127,135,218,93,54
"30906","KATNAL1",18,13,74,26,79,33,23,71,32,39,50,71,50,29
"30907","KATNAL2",3,4,13,5,12,7,3,6,7,10,10,5,2,3
"30908","KATNB1",134,165,186,159,142,160,135,234,176,167,177,222,100,52
"30909","KATNBL1",110,243,395,224,246,186,110,257,454,466,357,633,317,226
"30910","KATNBL1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30911","KATNBL1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30912","KATNBL1P3",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"30913","KATNBL1P4",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"30914","KATNBL1P5",0,0,1,0,0,0,0,0,0,1,0,0,0,0
"30915","KATNBL1P6",0,0,0,1,0,0,0,0,1,1,0,0,0,0
"30916","KAZALD1",3,0,0,1,1,0,4,3,1,0,1,0,0,0
"30917","KAZN",20,51,26,26,28,21,3,33,91,58,23,41,40,7
"30918","KAZN-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30919","KBTBD11",104,135,188,129,117,78,72,161,184,207,168,221,145,61
"30920","KBTBD11-OT1",0,0,0,0,0,0,0,0,0,1,0,1,0,0
"30921","KBTBD12",0,0,1,1,0,1,0,0,0,0,2,1,0,1
"30922","KBTBD13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30923","KBTBD2",197,693,797,402,622,407,251,860,858,631,619,1211,600,336
"30924","KBTBD3",7,32,26,24,26,19,13,34,25,35,26,55,30,16
"30925","KBTBD4",28,39,45,32,43,44,25,45,39,45,62,80,41,22
"30926","KBTBD6",61,30,49,42,57,46,35,49,52,27,61,90,43,9
"30927","KBTBD7",263,133,96,114,175,157,68,143,195,134,170,354,162,100
"30928","KBTBD8",3,26,61,35,52,47,24,104,43,47,57,117,52,35
"30929","KC6",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"30930","KC877373.1",0,0,0,0,1,0,2,0,1,0,0,0,0,0
"30931","KC877392.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30932","KC877982.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30933","KCCAT198",0,0,0,1,1,0,0,0,0,0,0,0,0,0
"30934","KCMF1",260,455,467,360,456,306,295,499,675,427,436,774,354,298
"30935","KCNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30936","KCNA10",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30937","KCNA2",1,3,21,19,18,13,11,44,7,18,15,28,7,1
"30938","KCNA3",10,55,172,151,130,178,58,265,77,259,209,288,113,41
"30939","KCNA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30940","KCNA5",0,0,1,0,2,0,2,2,2,2,3,1,0,0
"30941","KCNA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30942","KCNA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30943","KCNAB1",3,2,8,1,8,3,0,9,5,11,7,9,8,0
"30944","KCNAB1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30945","KCNAB1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30946","KCNAB2",620,904,1563,1248,1744,1008,900,1605,1527,1119,1294,1695,879,536
"30947","KCNAB3",11,33,46,19,21,16,15,47,11,35,26,56,12,1
"30948","KCNB1",2,10,5,3,4,4,4,7,6,9,5,16,7,2
"30949","KCNB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30950","KCNC1",0,2,3,0,1,0,0,3,0,0,1,0,0,0
"30951","KCNC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30952","KCNC3",10,23,32,37,23,17,25,24,29,40,38,25,15,10
"30953","KCNC4",6,11,33,33,29,45,11,36,22,88,49,46,25,6
"30954","KCNC4-AS1",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"30955","KCND1",9,49,25,17,9,8,24,51,11,17,40,66,22,7
"30956","KCND2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30957","KCND3",0,6,7,7,3,11,10,4,14,2,2,3,6,3
"30958","KCND3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30959","KCND3-IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30960","KCNE1",111,80,26,14,10,22,6,38,29,14,60,56,21,19
"30961","KCNE1B",1,0,0,0,0,3,0,0,1,1,0,0,0,0
"30962","KCNE2",0,0,0,0,0,1,0,0,0,0,0,1,0,0
"30963","KCNE3",254,748,722,326,612,298,267,827,1065,393,735,1254,604,383
"30964","KCNE4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30965","KCNE5",1,1,5,0,2,0,1,2,5,3,0,8,2,1
"30966","KCNF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30967","KCNG1",0,2,7,10,1,15,17,3,0,12,0,0,2,0
"30968","KCNG2",9,0,1,5,1,1,0,0,1,1,3,2,0,0
"30969","KCNG3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30970","KCNG4",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"30971","KCNH1",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"30972","KCNH1-IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30973","KCNH2",115,36,19,34,15,17,34,13,24,25,23,62,33,72
"30974","KCNH3",171,27,36,62,43,34,60,28,62,51,57,35,31,10
"30975","KCNH4",1,1,2,0,0,1,1,1,1,0,1,2,1,0
"30976","KCNH5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30977","KCNH6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30978","KCNH7",25,10,13,8,16,12,3,23,32,24,22,47,20,6
"30979","KCNH8",1,8,39,13,4,9,6,25,0,17,1,24,9,4
"30980","KCNIP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30981","KCNIP2",1,9,14,10,6,13,19,12,1,17,10,14,9,1
"30982","KCNIP2-AS1",0,2,1,0,0,2,0,1,0,0,1,1,0,0
"30983","KCNIP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30984","KCNIP4",0,1,1,2,7,1,4,4,5,7,3,8,3,3
"30985","KCNIP4-IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30986","KCNJ1",0,0,1,0,0,0,5,3,0,3,2,3,0,1
"30987","KCNJ10",0,0,2,0,1,0,2,2,1,2,2,0,1,1
"30988","KCNJ11",0,0,1,1,0,1,0,0,0,1,1,0,0,0
"30989","KCNJ12",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"30990","KCNJ13",1,1,3,0,0,0,0,0,0,1,2,0,0,0
"30991","KCNJ14",0,1,5,2,1,3,2,3,0,2,3,4,2,0
"30992","KCNJ15",1518,2480,1581,1082,1444,865,579,2313,3500,1513,2433,3733,1465,1242
"30993","KCNJ16",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"30994","KCNJ18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30995","KCNJ2",109,1141,941,406,595,512,309,950,1513,415,1574,2089,1054,500
"30996","KCNJ2-AS1",29,52,46,10,16,32,7,48,47,33,68,62,20,19
"30997","KCNJ3",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"30998","KCNJ4",0,1,0,0,0,0,0,1,0,0,0,0,0,0
"30999","KCNJ5",0,1,0,0,0,1,0,0,0,1,0,0,0,0
"31000","KCNJ6",0,2,1,0,0,0,0,0,0,0,1,0,0,0
"31001","KCNJ6-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31002","KCNJ8",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"31003","KCNJ9",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"31004","KCNK1",1,0,1,2,0,1,0,0,0,0,1,0,1,0
"31005","KCNK10",0,1,12,4,4,2,0,0,2,0,2,2,0,0
"31006","KCNK12",0,1,1,1,1,3,0,3,3,3,1,3,1,0
"31007","KCNK13",8,6,14,5,8,2,9,16,23,12,8,13,5,1
"31008","KCNK15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31009","KCNK15-AS1",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"31010","KCNK16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31011","KCNK17",0,1,2,0,1,0,0,0,3,3,2,5,2,0
"31012","KCNK18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31013","KCNK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31014","KCNK3",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"31015","KCNK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31016","KCNK4-TEX40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31017","KCNK5",8,2,3,8,3,4,5,10,8,2,6,2,3,4
"31018","KCNK6",87,201,236,188,155,137,171,285,331,246,248,291,185,77
"31019","KCNK7",4,37,17,9,8,6,8,36,11,10,28,25,10,2
"31020","KCNK9",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"31021","KCNMA1",4,0,6,2,12,7,2,10,7,1,9,2,1,0
"31022","KCNMA1-AS1",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"31023","KCNMA1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31024","KCNMA1-AS3",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"31025","KCNMB1",8,33,43,24,37,29,36,76,50,43,50,38,13,12
"31026","KCNMB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31027","KCNMB2-AS1",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"31028","KCNMB3",2,2,5,2,4,4,1,11,0,3,5,7,3,1
"31029","KCNMB3P1",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"31030","KCNMB4",2,6,8,6,10,7,6,5,9,27,15,7,2,5
"31031","KCNN1",1,1,0,1,0,0,0,0,0,0,0,0,0,0
"31032","KCNN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31033","KCNN3",4,3,3,0,0,1,4,16,2,0,3,4,1,1
"31034","KCNN4",38,57,119,88,49,96,52,190,75,105,80,92,90,32
"31035","KCNQ1",201,285,220,196,181,224,194,287,339,273,287,340,174,146
"31036","KCNQ1-AS1",0,0,1,0,0,0,0,0,0,0,1,0,0,0
"31037","KCNQ1DN",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"31038","KCNQ1OT1",13,43,51,10,34,12,9,49,33,41,66,76,40,10
"31039","KCNQ1OT1_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31040","KCNQ1OT1_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","KCNQ1OT1_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31042","KCNQ1OT1_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31043","KCNQ2",0,2,0,1,0,0,0,0,2,0,0,0,1,0
"31044","KCNQ3",0,2,1,1,1,1,2,0,3,6,4,4,3,0
"31045","KCNQ4",0,3,0,4,0,2,0,2,2,2,2,2,0,1
"31046","KCNQ5",0,4,19,5,6,13,4,26,12,29,14,24,15,7
"31047","KCNQ5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31048","KCNQ5-IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31049","KCNRG",0,1,5,0,1,1,0,2,0,3,2,1,2,1
"31050","KCNS1",5,3,5,0,3,5,0,3,12,5,1,3,2,0
"31051","KCNS2",0,0,0,0,0,0,0,1,1,1,0,1,0,0
"31052","KCNS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","KCNT1",0,1,5,4,5,6,3,3,1,3,2,6,0,1
"31054","KCNT2",0,1,0,0,1,0,0,0,0,0,0,1,0,0
"31055","KCNU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31056","KCNV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31057","KCNV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31058","KCP",0,0,7,7,5,0,1,2,3,3,9,3,0,1
"31059","KCTD1",0,5,5,1,12,3,4,10,6,7,4,14,4,2
"31060","KCTD10",92,200,308,198,267,280,137,351,240,214,303,358,183,125
"31061","KCTD10P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31062","KCTD11",19,57,45,44,60,37,68,53,64,38,64,77,32,23
"31063","KCTD12",687,1028,1242,646,1302,642,575,1851,1922,1136,2044,3067,1340,786
"31064","KCTD13",38,110,124,111,67,77,69,158,93,95,108,183,68,30
"31065","KCTD14",0,1,0,0,0,2,0,6,0,1,0,1,0,0
"31066","KCTD15",22,46,92,66,47,69,64,77,110,69,100,102,53,26
"31067","KCTD16",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"31068","KCTD17",29,48,64,79,48,59,89,85,51,53,79,82,38,20
"31069","KCTD18",35,128,180,108,154,89,62,181,149,183,152,271,102,68
"31070","KCTD19",0,2,2,0,1,1,0,0,0,5,3,4,2,0
"31071","KCTD2",152,316,350,249,283,261,207,343,419,289,321,469,288,164
"31072","KCTD20",346,615,935,540,807,513,363,1004,1374,953,1045,1043,864,536
"31073","KCTD21",54,84,98,56,67,50,42,125,118,53,83,141,74,69
"31074","KCTD21-AS1",0,8,4,3,0,1,0,5,7,7,3,12,1,0
"31075","KCTD3",23,26,44,20,47,16,11,35,19,35,30,62,25,12
"31076","KCTD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31077","KCTD5",96,186,234,173,218,142,126,287,255,178,227,335,139,93
"31078","KCTD6",3,33,49,23,44,33,29,56,77,35,54,93,47,21
"31079","KCTD7",25,124,281,220,239,181,104,277,181,326,271,352,194,46
"31080","KCTD8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
