"","Gene","SLE001h","SLE002h","SLE004h","SLE005h","SLE006h","SLE007h","SLE008h","SLE010h","SLE011h","SLE012h","SLE013h","SLE014h","SLE015h","SLE016h"
"176","AC000081.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","AC000089.1",0,1,2,0,0,0,0,0,0,0,2,0,1,0
"178","AC000095.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","AC000095.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","AC000099.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","AC000111.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","AC000111.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","AC000120.1",0,3,1,0,1,0,0,9,0,1,0,0,1,0
"184","AC000123.1",1,2,8,3,3,1,6,5,6,4,7,5,7,2
"185","AC000123.2",2,4,6,0,5,0,2,5,2,2,4,12,4,1
"186","AC000123.3",5,11,52,17,24,25,5,45,18,47,54,55,35,2
"187","AC000124.1",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"188","AC000362.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","AC000367.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","AC000372.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","AC000374.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","AC000403.1",7,8,4,6,2,1,2,7,5,10,3,4,1,1
"193","AC001226.1",0,1,0,0,0,1,0,0,0,1,1,0,0,0
"194","AC001226.2",0,0,3,1,1,0,0,3,3,5,2,0,1,0
"195","AC002044.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","AC002044.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","AC002044.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","AC002056.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","AC002056.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","AC002059.1",0,0,0,0,0,1,0,2,0,0,0,0,0,0
"201","AC002064.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","AC002064.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","AC002064.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","AC002066.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205","AC002069.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","AC002069.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207","AC002070.1",2,2,1,1,2,1,1,1,2,1,0,2,4,0
"208","AC002075.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","AC002075.2",3,2,4,1,2,2,8,1,1,3,2,1,5,1
"210","AC002076.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","AC002076.2",0,0,2,0,0,0,0,0,1,0,0,2,1,0
"212","AC002090.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","AC002091.1",6,25,13,5,10,6,7,15,9,19,10,23,9,6
"214","AC002091.2",5,9,12,4,10,5,6,16,9,14,10,9,11,4
"215","AC002094.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","AC002094.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","AC002094.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","AC002094.4",0,0,1,0,0,0,1,1,0,0,0,1,1,1
"219","AC002094.5",0,0,0,1,0,1,0,2,0,1,0,0,0,0
"220","AC002101.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","AC002115.1",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"222","AC002116.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","AC002116.2",0,2,0,1,1,0,2,2,2,2,0,0,0,0
"224","AC002127.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225","AC002127.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","AC002128.1",4,2,12,1,4,0,2,4,1,12,7,4,2,0
"227","AC002128.2",0,1,2,0,1,0,0,4,0,0,1,0,2,0
"228","AC002306.1",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"229","AC002310.1",0,5,3,3,6,1,4,5,8,6,3,7,2,0
"230","AC002310.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","AC002310.3",0,0,1,0,1,1,1,0,0,0,0,0,0,0
"232","AC002310.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233","AC002310.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","AC002310.6",3,1,6,3,4,1,1,4,2,5,2,3,3,1
"235","AC002347.1",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"236","AC002347.2",0,0,0,0,1,0,0,1,0,0,0,0,1,0
"237","AC002350.2",5,8,4,6,9,7,2,14,12,15,16,11,6,2
"238","AC002351.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239","AC002366.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240","AC002367.1",0,0,1,1,0,0,0,0,2,0,0,0,0,0
"241","AC002368.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242","AC002375.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243","AC002378.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244","AC002381.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"245","AC002383.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246","AC002384.1",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"247","AC002386.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248","AC002398.1",0,0,0,0,1,0,0,0,1,0,1,0,0,0
"249","AC002398.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250","AC002400.1",0,0,1,0,0,0,0,2,0,2,2,0,0,0
"251","AC002401.1",0,0,1,0,2,0,0,1,0,0,0,0,0,0
"252","AC002401.2",0,0,3,0,0,0,0,0,0,1,0,0,0,0
"253","AC002401.3",0,0,1,0,0,0,0,1,0,0,1,0,0,0
"254","AC002401.4",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"255","AC002407.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"256","AC002428.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"257","AC002428.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258","AC002429.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259","AC002429.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260","AC002451.1",2,1,2,0,5,1,2,1,1,1,0,2,1,0
"261","AC002451.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262","AC002454.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"263","AC002456.1",1,5,5,4,1,1,1,4,9,1,5,25,6,0
"264","AC002456.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265","AC002460.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"266","AC002463.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267","AC002464.1",2,13,2,2,6,1,4,14,17,3,17,12,4,6
"268","AC002465.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269","AC002467.1",21,22,20,18,17,16,12,36,43,26,35,77,24,11
"270","AC002470.1",1,1,2,0,1,1,1,2,0,0,1,3,1,2
"271","AC002472.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"272","AC002472.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"273","AC002472.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"274","AC002472.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"275","AC002480.1",0,2,0,0,0,0,0,2,0,0,0,0,0,1
"276","AC002480.2",1,0,1,0,0,2,0,1,0,0,0,1,2,0
"277","AC002480.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"278","AC002480.4",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"279","AC002486.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"280","AC002486.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"281","AC002487.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"282","AC002504.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283","AC002511.1",4,14,14,5,5,0,4,14,6,3,12,13,4,0
"284","AC002511.2",1,14,9,0,7,1,3,10,5,6,9,10,10,2
"285","AC002511.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"286","AC002519.1",0,1,0,0,0,0,1,1,0,0,0,0,0,0
"287","AC002519.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"288","AC002524.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"289","AC002525.1",1,0,3,0,1,3,2,4,2,1,2,0,2,0
"290","AC002540.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"291","AC002542.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292","AC002543.1",0,2,0,0,2,0,0,2,0,1,1,1,3,0
"293","AC002545.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294","AC002546.1",47,90,50,15,28,25,23,95,36,41,67,120,24,23
"295","AC002546.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"296","AC002550.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"297","AC002550.2",0,0,2,0,2,0,0,0,0,3,2,0,0,0
"298","AC002551.1",0,0,1,0,0,0,0,0,0,0,1,0,0,0
"299","AC002553.1",0,2,8,0,2,2,1,9,2,3,4,3,0,0
"300","AC002553.2",0,1,2,0,0,0,0,0,0,0,0,0,0,0
"301","AC002553.4",1,3,6,0,2,0,0,2,1,2,4,13,1,0
"302","AC002558.1",0,0,0,0,0,0,0,1,0,1,1,1,1,0
"303","AC002558.2",0,0,0,0,1,0,0,0,0,1,0,0,0,0
"304","AC002558.3",0,2,1,0,0,0,0,0,0,0,0,0,0,0
"305","AC002563.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"306","AC002984.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"307","AC002985.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308","AC002985.2",1,1,0,0,0,0,0,1,1,1,1,0,1,0
"309","AC002996.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"310","AC003001.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
