,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GCNT4,54.54646466,0.016136962,0.31660808,0.050968258,0.959350814,0.99722229
LINC00173,28.92901318,0.016143658,0.281982687,0.05725053,0.954345627,0.99722229
REXO4,106.5208239,0.016154578,0.147378116,0.10961314,0.912716189,0.99722229
ARHGEF19,26.78064999,0.016159672,0.268158265,0.060261697,0.951947208,0.99722229
AC093583.1,3.663241202,0.016187877,0.326517279,0.049577397,0.960459159,0.99722229
TRBV3-1,21.11851513,0.016189553,0.287087797,0.05639234,0.955029259,0.99722229
EIF3LP1,0.453933028,0.016190892,0.21920572,0.073861631,0.941120487,0.99722229
IK,747.6589505,0.01622394,0.075742902,0.214197501,0.830393045,0.99722229
PRDM11,29.57569852,0.016254069,0.245620161,0.06617563,0.947237998,0.99722229
WDR88,5.937759366,0.01626288,0.319867339,0.050842578,0.959450962,0.99722229
AC000068.1,1.068953575,0.016289597,0.307373557,0.052996092,0.957735021,0.99722229
AP000437.1,0.887156535,0.016291527,0.291187771,0.055948526,0.955382813,0.99722229
BTRC,91.4215433,0.016320511,0.135459056,0.120482983,0.904100559,0.99722229
CASP4,2041.610727,0.016350872,0.206035817,0.079359369,0.936746785,0.99722229
XPOT,261.3909626,0.016364185,0.137710889,0.118829999,0.905410041,0.99722229
RPS23P10,0.530215458,0.016367246,0.244717049,0.06688233,0.94667538,0.99722229
DHRS4-AS1,66.27878656,0.016369991,0.183909834,0.08901096,0.9290732,0.99722229
RPS27AP19,0.571952704,0.016382369,0.225813619,0.072548188,0.942165658,0.99722229
COX20,15.48407901,0.016469532,0.255403784,0.064484292,0.948584614,0.99722229
KCTD5,178.6703155,0.016470006,0.120971117,0.136148247,0.891704087,0.99722229
ZC3H7A,357.6026124,0.016488148,0.148603934,0.110953645,0.911653106,0.99722229
LIG4,122.845733,0.016490733,0.221984224,0.074287862,0.940781335,0.99722229
AL034549.2,3.896464312,0.016513808,0.32751529,0.050421487,0.959786514,0.99722229
STEAP1B,0.613080665,0.016593806,0.224371008,0.073956998,0.941044603,0.99722229
TRIM62,70.04549719,0.016609487,0.201432295,0.082456922,0.934283373,0.99722229
TADA1,59.5878304,0.016626223,0.191813278,0.086679209,0.930926503,0.99722229
ZNF18,90.42708399,0.01666186,0.144499608,0.115307302,0.908201551,0.99722229
UBR5,767.2042355,0.01667741,0.156554482,0.106527837,0.91516357,0.99722229
EIF2S2P4,1.43895353,0.016692433,0.285537814,0.058459625,0.953382522,0.99722229
ZNF480,74.95932201,0.016695542,0.224650334,0.074317902,0.940757433,0.99722229
AC008750.2,0.983085498,0.016731399,0.264987571,0.063140316,0.949654771,0.99722229
AC025594.2,4.073401873,0.016744711,0.321077826,0.052151565,0.958407926,0.99722229
ZMYM2,363.2266791,0.016787876,0.181816243,0.092334304,0.926432434,0.99722229
SNORD9,0.542911064,0.016792198,0.258944016,0.064848757,0.94829442,0.99722229
BACE1-AS,4.902419835,0.016795822,0.313617955,0.053555038,0.957289679,0.99722229
CHCHD7,167.03428,0.016839759,0.16508043,0.102009424,0.918749195,0.99722229
LRIT3,0.643269113,0.016855983,0.262496609,0.064214098,0.948799752,0.99722229
ILF2,413.744752,0.016861336,0.126303593,0.133498465,0.893799178,0.99722229
PCDH1,10.50400038,0.016867154,0.324582924,0.051965623,0.958556085,0.99722229
AL354732.1,0.58078673,0.016867409,0.259951061,0.064886863,0.94826408,0.99722229
ZC2HC1C,2.147509674,0.016879026,0.325802957,0.051807468,0.958682105,0.99722229
RPS15A,433.6227855,0.016893221,0.215445512,0.078410643,0.937501408,0.99722229
GGA3,457.9449331,0.016906028,0.106837901,0.158239985,0.874267697,0.99722229
ZBTB39,66.67202189,0.016907543,0.212292691,0.079642603,0.93652151,0.99722229
GNL1,178.5119969,0.016910037,0.146795646,0.115194401,0.908291036,0.99722229
AL121949.2,0.216858548,0.016952056,0.132557181,0.12788486,0.898240093,0.99722229
CYP7A1,0.216858548,0.016952056,0.132557181,0.12788486,0.898240093,0.99722229
AL645933.1,0.549843112,0.016962665,0.228403817,0.074266118,0.940798637,0.99722229
AP003469.4,11.8007064,0.017010623,0.305603108,0.055662466,0.955610701,0.99722229
AC006213.3,0.295527386,0.017018053,0.214161981,0.079463466,0.936663989,0.99722229
KMT2C,990.4942936,0.017029791,0.216827557,0.078540715,0.937397944,0.99722229
ZNF568,27.35828824,0.017046489,0.214439299,0.079493306,0.936640255,0.99722229
SRCIN1,0.935434526,0.017047944,0.238608818,0.071447251,0.943041805,0.99722229
GPATCH2L,394.2683684,0.017053074,0.205033419,0.083172168,0.933714643,0.99722229
AC012313.4,0.5107923,0.017056402,0.257767175,0.066169798,0.947242641,0.99722229
RNU6-242P,0.4442334,0.017068641,0.199593753,0.085516911,0.931850451,0.99722229
AC020765.2,0.62362793,0.017076906,0.274546391,0.062200438,0.950403214,0.99722229
OSGEP,181.3126789,0.017080663,0.159677411,0.106969811,0.91481293,0.99722229
XAB2,363.4486762,0.017105799,0.143294233,0.119375349,0.90497799,0.99722229
ALDH3A2,170.2757586,0.017119758,0.146555232,0.116814379,0.907007149,0.99722229
CEP164P1,0.541831566,0.017133356,0.245296802,0.069847448,0.944315081,0.99722229
RFC1,244.9632244,0.017163787,0.184568532,0.092994113,0.925908238,0.99722229
AC087683.1,0.377621322,0.017223213,0.196600816,0.087604991,0.930190636,0.99722229
NOCT,12.52659856,0.017258232,0.262260373,0.065805719,0.947532503,0.99722229
AL583722.1,4.517781214,0.01726294,0.321116651,0.053759092,0.957127102,0.99722229
CLN5,51.8500983,0.017283025,0.256857519,0.067286427,0.946353682,0.99722229
OR7E94P,3.625662009,0.017291493,0.324909918,0.053219346,0.957557142,0.99722229
PACS2,187.3533225,0.017313756,0.200833656,0.086209436,0.93129993,0.99722229
PEBP1,304.9502391,0.017335326,0.19882404,0.087189288,0.930521054,0.99722229
FBXO31,87.19986771,0.017348315,0.235213823,0.073755509,0.941204929,0.99722229
MUM1,79.91514032,0.017353668,0.209157265,0.08296947,0.933875815,0.99722229
EDEM1,630.7504645,0.017359908,0.141025635,0.123097537,0.902029862,0.99722229
AL592494.3,1.785818771,0.017369467,0.322121052,0.053922172,0.956997172,0.99722229
AL512408.1,1.595579625,0.017399333,0.305908248,0.056877621,0.954642681,0.99722229
RNF34,240.1552594,0.017406909,0.142917789,0.121796659,0.90306006,0.99722229
KIR2DL3,9.451900756,0.017428643,0.326651641,0.053355442,0.957448707,0.99722229
RPL7P7,0.720470798,0.017448216,0.264131323,0.066058867,0.947330959,0.99722229
BOLA2B,1.056610082,0.017465572,0.268929674,0.064944756,0.948217985,0.99722229
TRAV22,3.513464767,0.017468978,0.3274524,0.053348143,0.957454522,0.99722229
ZBED4,153.6418972,0.017478793,0.17039446,0.102578413,0.918297576,0.99722229
ORC2,142.9148442,0.017501977,0.16158669,0.108313233,0.913747226,0.99722229
RCAN1,79.92373425,0.017511338,0.202520994,0.086466777,0.931095365,0.99722229
SLF2,207.872522,0.017540314,0.183336781,0.095672639,0.923780572,0.99722229
SEC63,268.0827858,0.01754068,0.135927832,0.129044063,0.897322783,0.99722229
NARFL,101.973453,0.017552556,0.198227317,0.088547614,0.929441442,0.99722229
AC023813.3,1.630800259,0.01755418,0.313162441,0.056054551,0.95529835,0.99722229
RMND5B,120.1464952,0.017565469,0.150217598,0.116933494,0.906912756,0.99722229
NLRP3,346.2434807,0.017588874,0.18749305,0.093810806,0.925259447,0.99722229
AC003071.1,35.59221801,0.01760977,0.261284272,0.067396975,0.946265677,0.99722229
MTSS1L,1.381591636,0.017646918,0.318114691,0.055473446,0.955761284,0.99722229
AC007390.2,4.348411673,0.01769656,0.327938566,0.053963033,0.956964617,0.99722229
JAZF1-AS1,1.624137196,0.01770743,0.312256811,0.056707906,0.954777876,0.99722229
DHX9,949.9831664,0.017779999,0.122673824,0.144937183,0.884760468,0.99722229
NDUFA4,391.8682889,0.017796687,0.17763154,0.100188778,0.920194455,0.99722229
MPP3,1.527906207,0.017798286,0.3209204,0.055460125,0.955771896,0.99722229
ZNF707,68.05577761,0.017852347,0.184732417,0.096638952,0.923013122,0.99722229
IGLV1-36,6.491295582,0.0178733,0.312668874,0.05716367,0.954414818,0.99722229
ITPKB,695.2379745,0.017891078,0.192519383,0.092931305,0.925958135,0.99722229
INTS9-AS1,0.326149486,0.0179511,0.193480743,0.092779776,0.926078518,0.99722229
APBB1,152.4829885,0.017956764,0.287613442,0.062433674,0.950217479,0.99722229
BUB3,428.9378117,0.017969569,0.153584263,0.117001369,0.906858969,0.99722229
ATP2B4,1051.095992,0.018058208,0.191894547,0.094104851,0.925025867,0.99722229
CCDC150,1.654841674,0.018064914,0.311057181,0.058075862,0.953688201,0.99722229
AL133342.1,13.77631921,0.018068717,0.280404395,0.064438068,0.948621419,0.99722229
LINC01137,18.26831374,0.0180865,0.277737965,0.065120732,0.948077874,0.99722229
KHSRP,398.3332964,0.018147242,0.147606366,0.122943492,0.902151845,0.99722229
ORAOV1,102.9378763,0.018157468,0.186006617,0.097617325,0.922236167,0.99722229
SMU1,319.9483149,0.018163422,0.103961304,0.174713298,0.861304918,0.99722229
DHX40,186.4098094,0.018229115,0.146209345,0.12467818,0.900778332,0.99722229
RPL5P29,3.80758211,0.018241676,0.328091301,0.05559939,0.955660951,0.99722229
KIF1BP,37.58729066,0.018243314,0.18265627,0.099877841,0.920441309,0.99722229
B9D2,71.65870588,0.018248955,0.219381149,0.083183786,0.933705405,0.99722229
YME1L1,794.9478363,0.018323695,0.151832083,0.120683947,0.903941374,0.99722229
CETN3,36.94341059,0.018336718,0.210281485,0.087200823,0.930511885,0.99722229
PSD4,1731.010578,0.018348801,0.172658506,0.106272212,0.915366378,0.99722229
RPL22,916.9211515,0.018373817,0.190038519,0.096684699,0.922976791,0.99722229
ETFA,306.5769513,0.018398217,0.159504004,0.115346426,0.908170541,0.99722229
AC023024.2,0.666143503,0.018425791,0.196937455,0.09356164,0.925457383,0.99722229
PEX19,191.3673326,0.018434731,0.12703823,0.145111683,0.884622694,0.99722229
SLA,2324.577818,0.018456257,0.269592423,0.06845985,0.94541958,0.99722229
TOMM34,62.90846175,0.018462715,0.15156751,0.121811823,0.90304805,0.99722229
MLH3,202.4161032,0.018479836,0.173322123,0.106621335,0.915089392,0.99722229
YWHAZP5,1.925837483,0.018489152,0.321714766,0.057470634,0.954170298,0.99722229
GNAI1,6.34396178,0.018494429,0.317510485,0.058248248,0.95355089,0.99722229
PRDM10,84.6799781,0.018508084,0.198242326,0.093360912,0.925616842,0.99722229
TTC21B,87.52639024,0.018514102,0.199549718,0.092779396,0.92607882,0.99722229
DPM1,180.8524152,0.018523066,0.152218397,0.121687431,0.903146568,0.99722229
DEGS1,443.0312373,0.018530724,0.157602154,0.117579128,0.906401144,0.99722229
RPSAP3,1.469287522,0.018547403,0.287418957,0.064530895,0.948547507,0.99722229
KIF14,5.200338538,0.018557561,0.327873376,0.056599781,0.954864009,0.99722229
SAR1A,480.3942664,0.018587163,0.143781813,0.129273397,0.897141321,0.99722229
TUBBP5,2.114396105,0.018640691,0.313266954,0.059504172,0.952550543,0.99722229
AC008555.2,19.58873386,0.018668063,0.321740716,0.058022073,0.953731047,0.99722229
SAE1,221.8673301,0.018669844,0.130683251,0.142863324,0.886398125,0.99722229
AL049634.3,0.657060322,0.018681205,0.177719898,0.105116003,0.916283761,0.99722229
FAM213A,19.61464356,0.018733351,0.275272799,0.068053767,0.945742833,0.99722229
EIF3E,1446.596688,0.018736152,0.18804375,0.099637198,0.920632361,0.99722229
SARM1,37.45321419,0.018744503,0.294836833,0.063575852,0.94930796,0.99722229
AC002553.4,1.842976572,0.018770598,0.30966151,0.060616503,0.95166463,0.99722229
CASD1,97.95261477,0.0187828,0.227428841,0.082587591,0.934179468,0.99722229
FP565324.1,13.01676979,0.01878794,0.326057521,0.057621551,0.954050083,0.99722229
BX322234.1,0.95452829,0.018820817,0.276787128,0.067997444,0.945787669,0.99722229
CRTAP,654.2358236,0.018836975,0.207107573,0.090952611,0.927530246,0.99722229
CDC25C,1.970278878,0.01888859,0.3222004,0.058623732,0.953251808,0.99722229
LY75,145.0650431,0.018891684,0.199857097,0.094525962,0.92469136,0.99722229
PRR14L,476.9192412,0.018950703,0.173411882,0.109281454,0.912979256,0.99722229
PSMC4,272.7768423,0.018965792,0.147506931,0.128575597,0.897693477,0.99722229
ALG10B,33.82831252,0.01897243,0.305209355,0.062162021,0.950433807,0.99722229
TMEM131,435.4650583,0.018997051,0.115031879,0.165145965,0.868829094,0.99722229
AP002358.1,1.2796261,0.019043579,0.317686109,0.05994464,0.952199726,0.99722229
LRRN2,33.47719881,0.019125376,0.265533579,0.072026206,0.942581053,0.99722229
F8A1,19.50572118,0.019163108,0.294797325,0.065004349,0.948170538,0.99722229
CASS4,331.3260021,0.019163511,0.276123749,0.069401893,0.944669722,0.99722229
PGAP3,92.76832703,0.019164448,0.221095897,0.086679349,0.930926392,0.99722229
FAM120B,235.3221296,0.019175058,0.106177116,0.18059502,0.856685465,0.99722229
MIATNB,40.29343757,0.019188024,0.206653732,0.092851089,0.926021863,0.99722229
VRK3,344.2688726,0.0192182,0.137362071,0.139909071,0.888731834,0.99722229
CECR7,4.451973066,0.019223003,0.326058564,0.058955677,0.952987411,0.99722229
RPS15AP40,0.661010891,0.019247301,0.259057976,0.074297271,0.940773848,0.99722229
CYP2B7P,2.97246553,0.019292998,0.303427127,0.063583631,0.949301766,0.99722229
OR2B6,11.18600095,0.019296696,0.323182139,0.059708424,0.952387863,0.99722229
C1GALT1P1,0.312587024,0.019299136,0.192777527,0.10011092,0.920256266,0.99722229
P2RX4,143.681657,0.019304898,0.206999455,0.093260623,0.925696514,0.99722229
AL591848.4,1.823436144,0.019336603,0.319214448,0.060575588,0.951697216,0.99722229
ATP5J,233.9163079,0.019459631,0.176754649,0.110094024,0.912334808,0.99722229
TRIM74,1.082115135,0.019471487,0.281907219,0.069070551,0.944933462,0.99722229
AL136295.6,3.304388562,0.019476071,0.325588773,0.059818006,0.952300585,0.99722229
LIPA,713.4191992,0.019494728,0.228535911,0.085302688,0.932020754,0.99722229
PPP1R12B,451.0113809,0.019546977,0.282019043,0.069310839,0.944742198,0.99722229
SFXN1,147.1557295,0.019555527,0.180895674,0.108103892,0.913913281,0.99722229
SBF2,281.1416882,0.019560484,0.240650038,0.081281866,0.935217795,0.99722229
RPS21,1284.839885,0.019616334,0.23743979,0.082616034,0.934156852,0.99722229
KIAA1147,367.4912639,0.019618174,0.291410091,0.067321532,0.946325736,0.99722229
AL356599.1,4.44766407,0.019637223,0.319295139,0.061501792,0.950959588,0.99722229
DDIT3,137.9262023,0.019658603,0.23570208,0.083404454,0.933529947,0.99722229
PSD2,1.008175974,0.019778415,0.278180438,0.07109923,0.943318781,0.99722229
ATE1,138.573089,0.019804389,0.159822638,0.123914791,0.901382742,0.99722229
EHMT2,212.4545386,0.019805311,0.186119283,0.106411923,0.915255534,0.99722229
SLC25A5P2,0.263619196,0.019817712,0.163665362,0.121086782,0.903622299,0.99722229
FIBCD1,0.780662489,0.019824902,0.245049652,0.080901573,0.935520229,0.99722229
GPANK1,129.3103627,0.019836695,0.17810837,0.1113743,0.911319539,0.99722229
CSTF2T,234.8849647,0.019846989,0.173076819,0.114671564,0.908705454,0.99722229
AC093700.1,0.603125686,0.019852179,0.180326238,0.110090353,0.912337719,0.99722229
TP53RK,118.227221,0.019854212,0.181276008,0.109524765,0.91278628,0.99722229
RPS6KA6,0.528051425,0.019873147,0.244969301,0.081125052,0.935342503,0.99722229
LRRC14,85.36885701,0.01988527,0.211708164,0.093927744,0.925166555,0.99722229
PTPN21,0.51734722,0.01991387,0.257696178,0.077276545,0.93840355,0.99722229
COQ5,85.46560534,0.019934262,0.164048815,0.121514209,0.903283761,0.99722229
AP3M1,343.4439307,0.019991463,0.14315829,0.139645865,0.888939801,0.99722229
CKS1B,10.09751205,0.019995225,0.297011662,0.067321347,0.946325883,0.99722229
LINC02319,0.268598252,0.020000767,0.164293981,0.121737674,0.903106775,0.99722229
SLC30A2,0.268598252,0.020000767,0.164293981,0.121737674,0.903106775,0.99722229
FLCN,204.9252703,0.020004221,0.215061208,0.093016409,0.925890525,0.99722229
GANAB,1055.641909,0.020010717,0.11931758,0.167709715,0.866811653,0.99722229
AC004656.1,202.5792679,0.020015139,0.190567153,0.105029324,0.91635254,0.99722229
DNAJC10,460.2314501,0.020020514,0.156900126,0.127600368,0.89846524,0.99722229
LINC01521,2.533455579,0.02003329,0.325973385,0.061456826,0.950995397,0.99722229
NUCB1-AS1,0.432854762,0.020060207,0.223522212,0.089745922,0.928489123,0.99722229
GIMAP1,481.7061102,0.020065504,0.166520163,0.120498947,0.904087914,0.99722229
AC018755.4,13.44493816,0.020076194,0.222698811,0.090149535,0.928168386,0.99722229
ACACB,66.3997689,0.020112348,0.275299501,0.073056247,0.941761359,0.99722229
C1orf100,0.748885527,0.020120088,0.273547523,0.07355244,0.941366516,0.99722229
SON,2016.989835,0.0201217,0.144204198,0.139536159,0.889026484,0.99722229
LINC02413,0.924238628,0.020131134,0.290891594,0.069204935,0.944826495,0.99722229
TMEM254,48.07256285,0.020159846,0.161569905,0.12477476,0.90070187,0.99722229
RBM17,310.8288491,0.020168014,0.106215552,0.18987816,0.849404607,0.99722229
HHEX,337.0198879,0.020179404,0.17422018,0.115827016,0.907789639,0.99722229
ATIC,172.1102151,0.020195498,0.125282069,0.161200231,0.871935699,0.99722229
TSPAN17,213.1038129,0.020203764,0.172245098,0.1172966,0.906625019,0.99722229
DLG3,51.05998916,0.020205697,0.282510531,0.071521925,0.942982376,0.99722229
DYNC1I2,188.1211521,0.020206668,0.152962923,0.132101741,0.894903819,0.99722229
FAM91A1,356.1187668,0.020216744,0.183613761,0.110104734,0.912326313,0.99722229
EP400,304.7475827,0.020217678,0.200627897,0.100772016,0.919731442,0.99722229
FDPS,147.0214724,0.02021815,0.175792827,0.115011237,0.908436216,0.99722229
TUBE1,42.88300438,0.020273136,0.277282233,0.07311372,0.941715624,0.99722229
GTF2F1,353.6625063,0.020279795,0.127801211,0.158682338,0.873919154,0.99722229
PRDX3,457.8520874,0.020296491,0.169711548,0.119594048,0.904804735,0.99722229
RTCA,125.7585852,0.020375764,0.14634766,0.139228493,0.889269594,0.99722229
CRYBG1,857.1654108,0.020411788,0.174116021,0.11723096,0.906677034,0.99722229
H3F3BP1,1.250095555,0.020424417,0.309406044,0.066011693,0.947368516,0.99722229
MOCS3,39.30924254,0.0204331,0.200567536,0.101876408,0.918854776,0.99722229
OR52N4,2.745577555,0.020457663,0.327955208,0.062379443,0.950260665,0.99722229
PARN,180.6386907,0.020484645,0.131313807,0.155997648,0.876034875,0.99722229
MAST4-AS1,3.589534463,0.020499609,0.327954174,0.06250754,0.950158658,0.99722229
LRRC8B,59.94849699,0.020527385,0.218169826,0.094089018,0.925038444,0.99722229
DDTL,8.891243016,0.02053337,0.284752766,0.072109468,0.942514792,0.99722229
ARHGEF6,1018.631119,0.020544453,0.12788813,0.160643938,0.872373847,0.99722229
IFT88,48.70683143,0.020573869,0.233471897,0.088121394,0.929780192,0.99722229
FAM114A1,14.45699059,0.020583274,0.247871221,0.083040194,0.933819579,0.99722229
SCN9A,12.36516395,0.020641992,0.303843067,0.067936362,0.945836293,0.99722229
ADAMTS16,0.411844945,0.020651187,0.239808788,0.086115223,0.931374823,0.99722229
MTCO2P11,0.411844945,0.020651187,0.239808788,0.086115223,0.931374823,0.99722229
FSD1,6.371366584,0.020665004,0.323988271,0.063783184,0.949142868,0.99722229
MIER2,69.3258444,0.020694789,0.193157358,0.107139531,0.914678286,0.99722229
ZEB2,1118.336905,0.020724124,0.190555573,0.108756324,0.913395767,0.99722229
STAC2,0.302125056,0.020768125,0.138836014,0.149587447,0.881090113,0.99722229
RSL1D1,658.2385558,0.020779017,0.169016137,0.122941027,0.902153797,0.99722229
USP12-AS2,1.424049138,0.020837801,0.303950941,0.068556461,0.945342677,0.99722229
OTUD6B,37.31968148,0.020846237,0.207326288,0.100547968,0.919909303,0.99722229
SLC16A6,130.7057344,0.020870391,0.233125214,0.089524382,0.928665177,0.99722229
MAPK13,536.2231929,0.020914143,0.226068927,0.092512241,0.926291066,0.99722229
AC020659.1,61.43780728,0.020923262,0.326959587,0.063993421,0.948975466,0.99722229
HSP90AA1,2237.962125,0.020928958,0.159041028,0.13159471,0.89530487,0.99722229
GAS5,476.1153028,0.020932843,0.208332607,0.100477996,0.919964851,0.99722229
ZCCHC8,176.5421442,0.020942694,0.126838592,0.165112947,0.868855083,0.99722229
TCL1B,0.507200819,0.020966357,0.240290003,0.087254389,0.930469308,0.99722229
DDOST,693.6151819,0.020973814,0.152283996,0.13772829,0.890455161,0.99722229
ZSWIM1,41.96201144,0.020983163,0.213514142,0.098275283,0.921713705,0.99722229
DPF2,363.5982893,0.021013257,0.106335815,0.197612222,0.843348472,0.99722229
CHD1L,140.9964598,0.021022089,0.122891873,0.171061667,0.864175277,0.99722229
RNF121,58.4317101,0.02105478,0.160178045,0.131446103,0.89542242,0.99722229
AL049870.3,0.317994377,0.021067517,0.215209511,0.097893059,0.922017211,0.99722229
AC005229.4,4.538671183,0.021089179,0.323151866,0.065260892,0.94796628,0.99722229
ZFP41,19.40674365,0.021104806,0.263521725,0.080087538,0.936167634,0.99722229
ERLIN2,136.8932188,0.02112267,0.170836406,0.123642676,0.901598202,0.99722229
AC021739.4,0.475009468,0.021134814,0.241620745,0.087471023,0.930297117,0.99722229
VDAC3,369.8475054,0.02117405,0.105110479,0.201445658,0.840350117,0.99722229
GCSAM,72.52699465,0.021193185,0.257826699,0.082199344,0.934488195,0.99722229
MATR3,1083.220728,0.021223585,0.14940244,0.142056483,0.887035391,0.99722229
Z85996.1,0.561698554,0.021224958,0.258751544,0.082028332,0.934624184,0.99722229
SIKE1,199.0152998,0.02125404,0.177500094,0.119741009,0.904688314,0.99722229
MTO1,149.5507011,0.021259311,0.134998495,0.157478134,0.87486804,0.99722229
TF,1.136884999,0.021276543,0.29296135,0.072625767,0.942103921,0.99722229
CHRM4,0.78728546,0.021282518,0.276938661,0.076849211,0.938743502,0.99722229
LINC01218,0.451772366,0.021294186,0.201792349,0.105525242,0.915959042,0.99722229
DET1,31.26856746,0.021307779,0.230889364,0.092285668,0.926471075,0.99722229
AC116351.1,0.635773173,0.021317146,0.264984123,0.080446881,0.935881842,0.99722229
NSDHL,46.31248889,0.021318879,0.18273129,0.116667917,0.907123215,0.99722229
PROM2,0.446839178,0.021326156,0.223867086,0.095262581,0.924106264,0.99722229
SLC5A11,0.778682142,0.021347108,0.257831927,0.082794666,0.934014811,0.99722229
MED13,619.4215976,0.021463567,0.223206522,0.096160124,0.9233934,0.99722229
SACS,197.9574516,0.021526047,0.287940619,0.074758632,0.940406756,0.99722229
TMEM154,2420.213036,0.021542945,0.227892793,0.09453105,0.924687318,0.99722229
RPL35AP31,0.65111808,0.021547186,0.242055843,0.089017416,0.929068069,0.99722229
RASA2,413.8624712,0.021574959,0.198233931,0.108835855,0.913332684,0.99722229
RNF217,23.84497193,0.021600336,0.257990113,0.083725441,0.933274729,0.99722229
AC060234.1,0.332342426,0.021662788,0.193192285,0.112130711,0.910719767,0.99722229
HNRNPA2B1,3342.744844,0.021668751,0.098076874,0.220936395,0.825141958,0.99722229
GTF3C6,88.04826829,0.021669393,0.181287227,0.119530719,0.904854904,0.99722229
PSMA1,125.2131455,0.021700385,0.197911663,0.10964682,0.912689477,0.99722229
AC079089.1,1.04726416,0.021707396,0.291981059,0.07434522,0.940735696,0.99722229
NPM1P40,0.501114141,0.021730409,0.22267968,0.097585955,0.922261077,0.99722229
ERAP1,753.2743753,0.021771178,0.166771319,0.130545097,0.896135178,0.99722229
AC026471.1,11.81339764,0.021775752,0.292675471,0.074402381,0.940690214,0.99722229
NCEH1,61.80882686,0.021783473,0.215099003,0.101271844,0.919334667,0.99722229
CWC25,273.30872,0.021832091,0.129753227,0.16825856,0.866379874,0.99722229
KDM4A,206.8246314,0.021864639,0.124630965,0.175435049,0.860737803,0.99722229
AL512288.2,0.555790157,0.021865114,0.225966595,0.096762593,0.922914931,0.99722229
GSTM1,12.4004764,0.021868985,0.232560627,0.094035631,0.925080853,0.99722229
RASA4CP,25.57085321,0.021894122,0.24455636,0.089525875,0.928663991,0.99722229
PRDX6,1144.180912,0.021917733,0.249948173,0.087689109,0.930123776,0.99722229
GTF2E1,86.15503358,0.021919821,0.167377604,0.130960296,0.895806716,0.99722229
RBM4,26.84452838,0.021925215,0.208061782,0.105378385,0.916075567,0.99722229
COMMD10,77.5663322,0.021983572,0.219729755,0.100048227,0.920306038,0.99722229
MGAT4A,564.9012232,0.022001837,0.207088843,0.106243469,0.915389183,0.99722229
DUSP22,536.0181718,0.022021712,0.170775354,0.128951348,0.897396146,0.99722229
PELI1,1161.118044,0.022027036,0.252347052,0.087288661,0.930442067,0.99722229
TRIP11,181.2194923,0.022027698,0.20616374,0.106845646,0.914911435,0.99722229
RABL3,99.1868323,0.022038873,0.165648825,0.133045756,0.894157194,0.99722229
EIF4E2,380.0030176,0.022056975,0.144553542,0.152586888,0.878724066,0.99722229
SH3RF1,14.06721877,0.022067794,0.251808499,0.087637207,0.930165029,0.99722229
SEC61B,256.3461162,0.022068233,0.174596091,0.126395915,0.899418535,0.99722229
AL137789.1,2.15997675,0.022072592,0.287487782,0.076777495,0.938800554,0.99722229
ERGIC2,182.2883449,0.022090539,0.212825975,0.103796252,0.917331041,0.99722229
AC006042.1,1.025115706,0.022097689,0.289232459,0.076401139,0.939099964,0.99722229
MTCO2P12,10.13450481,0.022170115,0.311628637,0.071142739,0.943284153,0.99722229
SKP1,555.2433329,0.022254879,0.164026812,0.135678302,0.892075602,0.99722229
UFSP2,57.48859581,0.022268777,0.184525377,0.120681378,0.903943409,0.99722229
NDUFA6,199.8847339,0.022338448,0.142173345,0.157121213,0.87514932,0.99722229
CENPJ,26.5931621,0.0223733,0.261051953,0.085704395,0.931701408,0.99722229
E2F6P4,0.647453759,0.022374494,0.255485958,0.08757622,0.930213503,0.99722229
JMJD1C,1761.597243,0.022417037,0.246854878,0.090810588,0.927643097,0.99722229
ARIH1,390.9829035,0.022456874,0.133457872,0.168269387,0.866371356,0.99722229
AC008750.7,0.274791192,0.022458759,0.16679166,0.134651574,0.892887363,0.99722229
AC132872.1,38.46184203,0.022460121,0.300207908,0.074815219,0.940361732,0.99722229
FOXP3,29.70659869,0.022464513,0.302260569,0.074321679,0.940754427,0.99722229
LSR,63.35584193,0.022467817,0.299229497,0.075085567,0.940146631,0.99722229
SNORD101,0.42758757,0.022580088,0.240804298,0.093769454,0.925292297,0.99722229
MAPK9,169.1136336,0.022595353,0.116039386,0.19472141,0.84561105,0.99722229
IGKV7-3,0.318638086,0.02263015,0.171728747,0.131778459,0.895159525,0.99722229
HSP90AB1,1577.189871,0.022656211,0.116601391,0.194304807,0.845937222,0.99722229
AC007541.1,3.030263105,0.022661564,0.328027131,0.06908442,0.944922422,0.99722229
SNORA31,0.713730297,0.02267649,0.257638224,0.088016793,0.929863329,0.99722229
CSNK2A2,220.8230813,0.022685013,0.113867105,0.199223587,0.84208785,0.99722229
AL450306.1,0.531108824,0.022693617,0.267382062,0.08487337,0.932362063,0.99722229
ATG10,23.4855123,0.022715355,0.25901391,0.087699362,0.930115627,0.99722229
DNM1L,227.9372333,0.022716552,0.133226126,0.170511238,0.864608097,0.99722229
EID3,13.91451235,0.022760603,0.283760871,0.080210504,0.936069836,0.99722229
AC010320.4,0.970336368,0.022765634,0.284173572,0.080111722,0.9361484,0.99722229
SERPINB5,0.245570607,0.022775898,0.132623635,0.171733324,0.863647186,0.99722229
